OBS,SP500_OPEN,FTSE_OPEN,R_SP500_OPEN,R_FTSE_OPEN
10/11/1991,380.55,2569.4,0.990303201,-0.268185247
10/14/1991,381.45,2548,0.236220582,-0.836367091
10/15/1991,386.47,2587,1.307446482,1.519016549
10/16/1991,391.01,2579.7,1.167888975,-0.28257901
10/17/1991,392.79,2591.5,0.45419828,0.456374554
10/18/1991,391.92,2585.5,-0.221738058,-0.231794579
10/21/1991,392.49,2596.8,0.145332186,0.436100492
10/22/1991,390.02,2568.9,-0.631303933,-1.080212606
10/23/1991,387.83,2557.5,-0.563092058,-0.444757287
10/24/1991,387.94,2560.5,0.028358921,0.117233308
10/25/1991,385.07,2528.8,-0.742555255,-1.245767
10/28/1991,384.2,2520.4,-0.226188561,-0.332726283
10/29/1991,389.52,2577.1,1.375196154,2.224711664
10/30/1991,391.48,2561.4,0.501921668,-0.611075172
10/31/1991,392.96,2583.2,0.377339696,0.847495645
11/01/1991,392.46,2559,-0.127320432,-0.941238328
11/04/1991,391.29,2548.9,-0.298564815,-0.395466362
11/05/1991,390.28,2532.3,-0.258454281,-0.653391288
11/06/1991,388.71,2533.5,-0.403086593,0.047376526
11/07/1991,389.97,2533.3,0.323624878,-0.007894529
11/08/1991,393.72,2537.5,0.957018367,0.165654373
11/11/1991,392.9,2556.8,-0.20848702,0.757713222
11/12/1991,393.12,2559.1,0.055978221,0.089915759
11/13/1991,396.74,2574.1,0.916624553,0.584432428
11/14/1991,397.41,2558.6,0.168733906,-0.603972456
11/15/1991,397.15,2560.7,-0.065445029,0.082042471
11/18/1991,382.62,2483.6,-3.727171352,-3.057153811
11/19/1991,385.24,2516.6,0.682418714,1.319966367
11/20/1991,379.42,2474.3,-1.522274577,-1.695125644
11/21/1991,378.53,2471.1,-0.234844095,-0.12941321
11/22/1991,380.05,2468.3,0.400749304,-0.113374106
11/25/1991,376.14,2432.7,-1.03414085,-1.452790294
11/26/1991,375.34,2466.4,-0.212913265,1.375784595
11/27/1991,377.96,2472.3,0.695608805,0.238929387
11/28/1991,,2451,,-0.865278691
11/29/1991,376.55,2428.9,,-0.905762458
12/02/1991,375.11,2412.4,-0.383152426,-0.681637737
12/03/1991,381.4,2436.9,1.662937688,1.010463715
12/04/1991,380.96,2419.7,-0.115431043,-0.70831742
12/05/1991,380.07,2418.4,-0.233893646,-0.053740106
12/06/1991,377.39,2402.6,-0.707631078,-0.655468018
12/09/1991,379.09,2381.1,0.449450841,-0.898891852
12/10/1991,378.26,2408.3,-0.219185405,1.135853862
12/11/1991,377.9,2392.6,-0.09521795,-0.654046365
12/12/1991,377.7,2384,-0.052938064,-0.360089155
12/13/1991,381.55,2448.7,1.014167402,2.677752228
12/16/1991,384.48,2446,0.764986825,-0.110323422
12/17/1991,384.46,2436.4,-0.005201966,-0.393249728
12/18/1991,382.74,2425.7,-0.448384484,-0.440139745
12/19/1991,383.46,2409.3,0.187940541,-0.678389365
12/20/1991,382.52,2381.1,-0.245437341,-1.17736831
12/23/1991,387.05,2353,1.177294417,-1.187145604
12/24/1991,396.82,2373.5,2.492889372,0.867454926
12/25/1991,,,,
12/26/1991,399.33,,,
12/27/1991,404.84,2399.3,1.370378459,
12/30/1991,406.49,2426.6,0.406740112,1.131407249
12/31/1991,415.14,2449.9,2.10564843,0.955610676
01/01/1992,,,,
01/02/1992,417.03,2483.1,,
01/03/1992,417.27,2499.4,0.057533263,0.654292349
01/06/1992,419.31,2523.7,0.487700888,0.967537559
01/07/1992,417.96,2477.1,-0.3224769,-1.863755755
01/08/1992,417.36,2475.9,-0.143657545,-0.048455482
01/09/1992,418.09,2467,0.174756164,-0.360112874
1/10/1992,417.62,2503.6,-0.112479221,1.472685852
1/13/1992,415.05,2465.1,-0.617293324,-1.549732145
1/14/1992,414.34,2491.5,-0.171210208,1.065256412
1/15/1992,420.45,2551.2,1.463867346,2.367889797
1/16/1992,420.77,2525.8,0.076079983,-1.000599248
1/17/1992,418.2,2543.9,-0.612657911,0.71404923
1/20/1992,418.86,2528.8,0.157694822,-0.595345461
1/21/1992,416.36,2549,-0.598646456,0.795624347
1/22/1992,412.65,2526.9,-0.895049461,-0.870787039
1/23/1992,418.13,2531.4,1.319261292,0.177925437
1/24/1992,414.96,2502.6,-0.761025891,-1.144231793
1/27/1992,415.44,2528.7,0.115606949,1.037514524
1/28/1992,414.98,2540.4,-0.110787324,0.461621226
1/29/1992,414.96,2552.6,-0.004819626,0.479089862
1/30/1992,410.34,2533.9,-1.119604571,-0.735282975
1/31/1992,411.65,2568.4,0.318738941,1.352351912
02/03/1992,408.79,2563.7,-0.697189699,-0.183160941
02/04/1992,409.6,2562.4,0.197949697,-0.050720822
02/05/1992,413.88,2569.1,1.039500301,0.261132371
02/06/1992,413.87,2535.5,-0.002416188,-1.316478677
02/07/1992,413.82,2530.2,-0.012081818,-0.209250525
2/10/1992,411.07,2507.4,-0.666758038,-0.90519913
2/11/1992,413.77,2548.9,0.65467476,1.641553385
2/12/1992,413.77,2532.8,0,-0.633648341
2/13/1992,417.13,2526.1,0.808765992,-0.264879872
2/14/1992,413.69,2510.7,-0.828102274,-0.61150127
2/17/1992,,2513.3,,0.103503194
2/18/1992,412.48,2547.8,,1.363361103
2/19/1992,407.38,2545,-1.244130896,-0.109959169
2/20/1992,408.26,2545.9,0.215781556,0.035357206
2/21/1992,413.9,2555.1,1.372017241,0.360713977
2/24/1992,411.46,2533.5,-0.591258871,-0.84896159
2/25/1992,412.27,2563.6,0.196666447,1.181077471
2/26/1992,410.48,2548.3,-0.435126788,-0.598605047
2/27/1992,415.35,2565.1,1.179433165,0.657099403
2/28/1992,413.86,2564,-0.35937859,-0.042892516
03/02/1992,412.68,2552.2,-0.285527815,-0.461280674
03/03/1992,412.45,2556.1,-0.055748793,0.152692706
03/04/1992,412.86,2569.9,0.099356614,0.538432826
03/05/1992,409.33,2555.4,-0.858687576,-0.565822047
03/06/1992,406.51,2531,-0.691314775,-0.959428561
03/09/1992,404.45,2523.5,-0.508040947,-0.296765476
3/10/1992,405.21,2554.9,0.187733178,1.236625715
3/11/1992,406.88,2556.6,0.411285043,0.066516681
3/12/1992,404.03,2516.9,-0.702916904,-1.565026522
3/13/1992,403.92,2499,-0.027229408,-0.713733367
3/16/1992,405.85,2483.9,0.476679466,-0.606074624
3/17/1992,406.39,2477.3,0.132965646,-0.266064819
3/18/1992,409.58,2478.1,0.781895475,0.032288009
3/19/1992,409.15,2468.5,-0.105040743,-0.38814588
3/20/1992,409.8,2471.7,0.158739883,0.129549429
3/23/1992,411.29,2448.5,0.362932598,-0.943058085
3/24/1992,409.91,2455.8,-0.336093838,0.297698158
3/25/1992,408.88,2453.4,-0.251590895,-0.097775613
3/26/1992,407.52,2466.4,-0.333170323,0.528477997
3/27/1992,407.86,2466.7,0.083396703,0.012162737
3/30/1992,403.5,2436.9,-1.074749055,-1.215448522
3/31/1992,403,2459.4,-0.123992576,0.919067801
04/01/1992,403.67,2384.1,0.166115054,-3.109572312
04/02/1992,404.17,2423.2,0.123786904,1.62672861
04/03/1992,400.5,2397.9,-0.912181502,-1.049562641
04/06/1992,401.54,2377.6,0.259338832,-0.850177878
04/07/1992,405.59,2413.2,1.003564232,1.486209204
04/08/1992,398.05,2374.1,-1.876517161,-1.633524928
04/09/1992,394.5,2401.7,-0.895848525,1.155840164
4/10/1992,400.59,2568.6,1.531932008,6.718418346
4/13/1992,404.28,2570.9,0.916924684,0.089502876
4/14/1992,406.08,2585.2,0.444247732,0.554684225
4/15/1992,412.39,2621.6,1.541931902,1.3981944
4/16/1992,416.28,2667.7,0.938860722,1.743185955
4/17/1992,,,,
4/20/1992,416.05,,,
4/21/1992,410.16,2617.6,-1.425811787,
4/22/1992,410.26,2631.9,0.024377758,0.544815139
4/23/1992,409.81,2610.6,-0.10974674,-0.812593885
4/24/1992,411.6,2610.9,0.435836631,0.011490951
4/27/1992,409.03,2640.9,-0.626350097,1.142477867
4/28/1992,408.45,2659.5,-0.14189952,0.701836705
4/29/1992,409.11,2654.4,0.161456075,-0.191949475
4/30/1992,412.02,2668.5,0.708782332,0.529787634
05/01/1992,414.95,2660.1,0.708613918,-0.315280072
05/04/1992,412.54,,-0.582486027,
05/05/1992,416.91,2679.8,1.05372004,
05/06/1992,416.84,2657.1,-0.016791604,-0.850686237
05/07/1992,416.79,2703.3,-0.01199573,1.723794643
05/08/1992,415.87,2695.8,-0.220978641,-0.27782426
5/11/1992,416.05,2731.3,0.043273392,1.308268001
5/12/1992,418.49,2741.5,0.584754943,0.372752953
5/13/1992,416.29,2717.5,-0.527086201,-0.879287585
5/14/1992,416.45,2721.3,0.038427361,0.139736729
5/15/1992,413.14,2674.1,-0.797988781,-1.749683217
5/18/1992,410.13,2679.8,-0.731233596,0.212928973
5/19/1992,412.82,2707.2,0.653747999,1.017272556
5/20/1992,416.37,2713.3,0.856262543,0.225071583
5/21/1992,415.4,2708.8,-0.233237659,-0.165987386
5/22/1992,412.61,2704.2,-0.673907455,-0.169961245
5/25/1992,,,,
5/26/1992,414.02,2722,,
